Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2020-12-09 16:00:00,2020-12-09 14:00:00,BUY,0.8882,0.8875000000000001,0.8904,3,USDCHF
2021-01-05 09:00:00,2021-01-05 08:15:00,BUY,0.8803,0.8792,0.8837,-1,USDCHF
2021-01-12 18:30:00,2021-01-12 09:00:00,SELL,0.8902,0.8912,0.8873,3,USDCHF
2021-01-12 20:15:00,2021-01-12 14:00:00,SELL,0.8899,0.8911,0.8864,3,USDCHF
2021-01-13 09:00:00,2021-01-13 08:45:00,SELL,0.8868,0.8876,0.8843,-1,USDCHF
2021-02-09 15:45:00,2021-02-09 13:15:00,BUY,0.894,0.8931,0.8969,-1,USDCHF
2021-02-09 16:45:00,2021-02-09 14:30:00,BUY,0.894,0.893,0.8971,-1,USDCHF
2021-02-12 13:15:00,2021-02-12 09:45:00,SELL,0.8922,0.8931,0.8896,-1,USDCHF
2021-02-15 15:45:00,2021-02-15 15:00:00,BUY,0.8905,0.8899,0.8924,-1,USDCHF
2021-03-17 18:00:00,2021-03-17 15:00:00,SELL,0.9285,0.9291999999999999,0.9263,3,USDCHF
2021-03-29 10:30:00,2021-03-29 10:00:00,SELL,0.9385,0.9394,0.9359,-1,USDCHF
2021-04-09 17:15:00,2021-04-09 14:30:00,BUY,0.9254,0.9245,0.9282,-1,USDCHF
2021-04-22 06:30:00,2021-04-21 14:00:00,SELL,0.9187,0.9198,0.9152,3,USDCHF
2021-04-27 10:45:00,2021-04-27 10:00:00,BUY,0.9142,0.9133,0.9167,-1,USDCHF
2021-04-27 11:45:00,2021-04-26 09:15:00,BUY,0.9139,0.9128000000000001,0.9172,-1,USDCHF
2021-04-29 12:30:00,2021-04-29 10:00:00,BUY,0.9093,0.9083,0.9125,-1,USDCHF
2021-05-04 02:45:00,2021-05-03 14:30:00,BUY,0.9101,0.909,0.9134,3,USDCHF
2021-05-14 05:30:00,2021-05-13 14:00:00,BUY,0.9057,0.9048,0.9082,-1,USDCHF
2021-06-07 11:15:00,2021-06-07 09:45:00,BUY,0.8994,0.8988,0.9013,-1,USDCHF
2021-06-22 19:00:00,2021-06-22 09:45:00,SELL,0.9205,0.9215,0.9175,3,USDCHF
2021-06-25 13:00:00,2021-06-24 14:45:00,SELL,0.9186,0.9198,0.9152,3,USDCHF
2021-06-28 11:15:00,2021-06-28 08:15:00,SELL,0.9183,0.9193,0.9153,-1,USDCHF
2021-07-28 08:45:00,2021-07-28 08:15:00,BUY,0.9152,0.9143,0.9179,-1,USDCHF
2021-09-02 12:30:00,2021-09-02 10:00:00,SELL,0.9158,0.9166,0.9135,-1,USDCHF
2021-09-07 07:15:00,2021-09-06 13:45:00,SELL,0.9162,0.9170999999999999,0.9133,3,USDCHF
2021-09-14 12:30:00,2021-09-14 09:45:00,SELL,0.9219,0.9225,0.92,3,USDCHF
2021-09-17 11:00:00,2021-09-17 08:45:00,SELL,0.9267,0.9276,0.924,-1,USDCHF
2021-09-22 09:00:00,2021-09-21 14:45:00,BUY,0.9232,0.9222,0.9263,-1,USDCHF
2021-09-22 14:30:00,2021-09-22 09:15:00,BUY,0.9226,0.9216000000000001,0.9255,-1,USDCHF
2021-09-24 11:00:00,2021-09-24 09:45:00,BUY,0.9231,0.9222,0.9259,-1,USDCHF
